Home vs Away,Home win,Home Draw, Home Lost,b365H,b365D,b365A,bwinH,bwinD,bwinA
Norwich City vs Everton,0.33,0.29,0.38,3.2,3.3,2.25,3,3.3,2.3
Crystal Palace vs Southampton,0.37,0.3,0.33,2.4,3.3,2.88,2.5,3.2,2.8
West Ham vs Stoke,0.37,0.3,0.33,2.1,3.3,3.5,2.05,3.3,3.6
Man City vs Swansea,0.73,0.18,0.09,1.25,6,10,1.3,5.25,8.75
Sunderland vs Watford,0.34,0.3,0.36,2.7,3.25,2.6,2.7,3.1,2.65
Bournemouth vs Man United,0.28,0.3,0.42,4.33,3.5,1.83,4.4,3.6,1.78
Aston Villa vs Arsenal,0.15,0.25,0.6,7.5,4.2,1.44,6.25,4.1,1.5
Tottenham vs Newcastle,0.62,0.29,0.09,1.36,5,7.5,1.4,4.5,7.75
Liverpool vs West Brom,0.37,0.32,0.31,1.4,4.5,8,1.4,4.4,8
Leicester vs Chelsea,0.6,0.25,0.15,3.2,3.4,2.2,3.1,3.3,2.25
Mainz 05 vs Stuttgart,0.45,0.27,0.28,2.25,3.4,3.1,2.1,3.3,3.4
Wolfsburg vs Hamburg,0.6,0.24,0.16,1.62,4,5,1.6,3.8,5.5
Darmstadt 98 vs Hertha,0.31,0.31,0.38,3,3,2.5,2.8,3.2,2.5
Bayern vs Ingolstadt,0.88,0.1,0.02,1.08,11,21,1.08,10,23
Hoffenheim vs Hannover 96,0.5,0.28,0.22,1.91,3.5,4,2.05,3.3,3.6
Werder vs Koln,0.38,0.29,0.33,2.4,3.3,2.9,2.25,3.3,3.1
Leverkusen vs Borussia MG,0.48,0.26,0.26,1.85,3.8,3.8,1.78,3.5,4.5
Augsburg vs Schalke 04,0.35,0.29,0.36,2.55,3.3,2.7,2.8,3.2,2.5
Dortmund vs Frankfurt,0.6,0.25,0.15,1.22,6,13,1.25,6,9.5
Barcelona vs Deportivo,0.88,0.09,0.03,1.07,10,34,1.08,9.75,26
Las Palmas vs Real Betis,0.44,0.3,0.26,2.1,3.2,3.6,2.1,3.2,3.6
Rayo vs Malaga,0.41,0.29,0.3,2.38,3.3,2.9,2.35,3.25,2.95
Eibar vs Valencia,0.36,0.31,0.33,2.88,3.2,2.5,2.85,3.1,2.5
Atletico vs Athletic,0.47,0.29,0.24,1.62,3.75,5.5,1.65,3.6,5.25
Villarreal vs Real Madrid,0.33,0.33,0.34,4.33,4.2,1.67,4.33,4.2,1.67
Sassuolo vs Torino,0.34,0.32,0.34,2.75,3.2,2.6,2.7,3.2,2.6
Palermo vs Frosinone,0.54,0.28,0.18,1.57,3.8,6,1.6,3.7,5.75
Udinese vs Inter,0.24,0.29,0.47,3.8,3.5,1.95,3.6,3.2,2.1
Empoli vs Carpi,0.56,0.27,0.17,1.6,3.8,5.75,1.57,3.75,6
Chievo vs Atalanta,0.38,0.32,0.3,2.38,3,3.2,2.4,3,3.1
Milan vs Verona,0.7,0.2,0.1,1.3,5.25,9.5,1.3,5,10
Napoli vs Roma,0.52,0.27,0.21,1.57,3.75,6,1.62,3.7,5.5
Juventus vs Fiorentina,0.38,0.32,0.3,1.62,3.75,5.5,1.65,3.7,5.25
Lazio vs Sampdoria,0.38,0.322,0.3,1.44,4.2,7.5,1.5,4,6.5
